gigyaid,PC,MOBILE,nan_deviceos,Android,Mac OS,iOS,Windows,Firefox,Safari Mobile,nan_browsertype,WebKit,Chrome,414 x 736,360 x 720,1440 x 900,1920 x 1080,375 x 667,360 x 640,1366 x 768,720p (352000 bitrate),nan_videoquality
AB9B45BB427C8B63B13E53787744DB5B,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3BA5D774366567ECBEE4B00BC3EA50F6,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
3C0B43E334A6D4B4C71FB04E8EC69BAD,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
5B6989299E3BA0F4068DF707B03FBB86,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
16B9E268C6B789B87E633F81C567A409,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
C81FDB650CBFFE8FD6B5846132F9E7AF,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1
074376A1F03944C8A583CFC364212461,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
71CDA12B9241449CA620795C2DD9F6E5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
777C50A13B5E42289AF773D97F6361AA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
DCFE9B103D83980A9AAA0CDF2D879BF6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
EED88C9BB11B657C8221AB99C03F55E8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
